epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,456.471,2.51944,1.65449,2.39166,0.79545,0.83106,0.86512,0.5537,2.43426,1.41715,2.34851,0.000297232,0.000297232,0.000297232
82,461.781,2.46792,1.66616,2.38263,0.81011,0.83076,0.84943,0.54056,2.5642,1.43398,2.40839,0.000283085,0.000283085,0.000283085
83,466.845,2.45685,1.63031,2.38253,0.78899,0.80035,0.85512,0.56816,2.39597,1.39658,2.33941,0.000268938,0.000268938,0.000268938
84,472.016,2.41962,1.57059,2.35151,0.79773,0.84152,0.86032,0.54877,2.51708,1.4119,2.39208,0.000254791,0.000254791,0.000254791
85,476.947,2.48525,1.65757,2.39525,0.82187,0.85111,0.87042,0.54377,2.54628,1.41792,2.40531,0.000240644,0.000240644,0.000240644
86,481.981,2.38266,1.53474,2.33864,0.81816,0.82993,0.87811,0.56878,2.39422,1.38844,2.34311,0.000226497,0.000226497,0.000226497
87,487.022,2.46465,1.63428,2.38212,0.84944,0.81797,0.87855,0.57327,2.42433,1.40022,2.38179,0.000212349,0.000212349,0.000212349
88,492.354,2.39001,1.5164,2.3422,0.798,0.83261,0.86899,0.57361,2.34322,1.39367,2.33119,0.000198202,0.000198202,0.000198202
89,497.756,2.41498,1.61661,2.32721,0.84968,0.8229,0.88259,0.56561,2.42775,1.42154,2.35791,0.000184055,0.000184055,0.000184055
90,502.876,2.43081,1.60891,2.3704,0.8528,0.77753,0.87843,0.5643,2.44382,1.43355,2.37857,0.000169908,0.000169908,0.000169908
91,547.42,2.19175,1.38657,2.29219,0.77705,0.86609,0.87951,0.56235,2.49753,1.40264,2.42155,0.000155761,0.000155761,0.000155761
92,552.289,2.13075,1.23578,2.20294,0.80535,0.83478,0.86124,0.55896,2.49547,1.42467,2.42276,0.000141614,0.000141614,0.000141614
93,557.042,2.06895,1.19456,2.21734,0.82656,0.82146,0.86321,0.56183,2.44223,1.40263,2.3912,0.000127467,0.000127467,0.000127467
94,561.777,2.03076,1.12494,2.18136,0.82315,0.81419,0.8695,0.56737,2.42224,1.4275,2.38387,0.00011332,0.00011332,0.00011332
95,566.576,2.02651,1.14147,2.21823,0.8311,0.82138,0.8671,0.56997,2.38939,1.46382,2.36461,9.91726e-05,9.91726e-05,9.91726e-05
96,571.583,2.03732,1.12545,2.18858,0.80015,0.83066,0.86619,0.56996,2.39062,1.46721,2.35645,8.50255e-05,8.50255e-05,8.50255e-05
97,576.536,1.96797,1.06995,2.16064,0.8107,0.82154,0.86934,0.57349,2.36231,1.43363,2.34187,7.08784e-05,7.08784e-05,7.08784e-05
98,581.44,2.00046,1.07766,2.15896,0.84618,0.79093,0.87139,0.57066,2.3853,1.43171,2.34922,5.67313e-05,5.67313e-05,5.67313e-05
99,586.293,1.92961,1.06803,2.13789,0.78915,0.84596,0.87162,0.56807,2.36961,1.42758,2.34499,4.25842e-05,4.25842e-05,4.25842e-05
100,591.165,1.96738,1.06568,2.17167,0.83721,0.81116,0.86982,0.56949,2.36741,1.42994,2.34718,2.84371e-05,2.84371e-05,2.84371e-05
